STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
33,015,065007,1613,+42.922440,-070.811201
33,015,065008,1887,+42.906179,-070.815326
33,015,065009,3775,+42.942356,-070.826904
33,015,065010,4556,+42.949017,-070.852859
33,015,066000,4538,+42.978938,-070.828938
33,015,067000,7669,+43.017330,-070.897004
33,015,067502,3601,+43.080859,-070.935057
33,015,067503,2877,+43.069080,-070.941842
33,015,067504,2952,+43.065548,-070.969249
33,015,067505,1769,+43.038183,-070.959118
33,015,069100,4240,+43.071555,-070.758991
33,015,069200,2931,+43.070819,-070.767188
33,015,069300,2202,+43.081024,-070.772434
33,015,069700,3475,+43.062014,-070.748102
33,015,071001,3226,+42.997880,-070.775519
33,015,071002,2317,+43.031024,-070.744776
33,015,100100,6944,+42.824906,-071.213487
33,015,100200,5509,+42.794109,-071.216360
33,015,100301,4927,+42.780581,-071.246320
33,015,100302,4519,+42.756769,-071.225767
33,015,100401,4659,+42.760668,-071.201549
33,015,100402,3531,+42.776557,-071.194141
33,015,101101,4882,+42.827566,-071.083951
33,015,101102,2948,+42.851970,-071.109216
33,015,102100,4820,+42.867572,-071.045824
33,015,103100,7087,+42.837121,-071.156799
33,015,104101,4932,+42.880053,-071.144674
33,015,104102,4066,+42.889801,-071.189097
33,015,105100,6202,+42.917037,-071.064685
33,015,106101,8159,+42.825152,-071.298537
33,015,106102,7658,+42.786807,-071.310544
33,015,106200,4464,+42.972533,-070.959112
33,015,106400,4682,+42.978824,-070.925009
33,015,107100,2590,+43.086019,-070.783795
33,015,107200,6262,+43.037229,-070.781017
33,015,107400,1256,+43.057792,-070.799616
33,015,107500,4878,+43.045732,-070.844093
33,015,980011,6,+42.922902,-071.447212
33,015,990000,0,+42.904328,-070.754349
33,017,080100,2911,+43.111931,-070.928046
33,017,080202,2766,+43.140737,-070.912133
33,017,080203,5600,+43.133568,-070.934759
33,017,080204,4213,+43.140813,-070.933174
33,017,080500,6438,+43.136977,-070.987126
33,017,081101,4813,+43.172414,-070.888849
33,017,081102,2100,+43.154960,-070.865441
33,017,081200,5188,+43.166427,-070.851730
33,017,081300,4963,+43.190427,-070.873981
33,017,081400,2309,+43.199421,-070.864234
33,017,081500,5701,+43.207585,-070.878829
33,017,081600,7667,+43.214017,-070.913218
33,017,082000,2597,+43.226646,-070.836448
33,017,083001,6750,+43.259078,-070.870098
33,017,083002,5105,+43.243566,-070.883418
33,017,084100,5754,+43.277684,-070.946175
33,017,084201,4471,+43.340542,-070.973818
33,017,084202,3684,+43.321059,-070.936984
33,017,084301,2866,+43.298574,-070.971798
33,017,084302,3946,+43.312206,-070.972856
33,017,084400,4360,+43.302415,-070.985516
33,017,084500,4380,+43.266892,-070.986492
33,017,084600,3031,+43.309765,-071.016813
33,017,085001,3895,+43.237800,-071.028860
33,017,085002,5431,+43.188786,-071.044954
33,017,086000,4230,+43.264370,-071.144785
33,017,087001,3840,+43.393728,-071.067779
33,017,087002,2882,+43.362092,-071.059788
33,017,088000,4482,+43.433210,-070.999509
33,017,088500,4516,+43.457270,-071.113470
33,019,975100,4075,+43.521564,-072.306294
33,019,975200,5464,+43.496773,-072.118204
33,019,975300,3342,+43.387907,-072.091402
33,019,975401,3030,+43.374913,-072.167809
33,019,975402,3269,+43.355487,-072.184977
33,019,975500,3106,+43.227700,-072.135932
33,019,975600,3022,+43.246147,-072.297011
33,019,975700,4806,+43.255482,-072.405839
33,019,975800,4705,+43.365728,-072.358708
33,019,975901,4438,+43.388887,-072.338658
33,019,975902,3806,+43.363473,-072.333435
